应用代码,应用名称,应用类型,公司名称,app大小,版本号,更新时间,评分,下载人数,应用介绍,图标,下载地址,爬取时间
C100830181,声波大师,实用工具,广州丰米信息技术有限公司,9.83MB,1.0.1.2,2019-08-05,score_10,<10000次,手机音量变小？音质变差？声音嘈杂？手机进水进灰尘？垃圾文件太多？手机卡慢？耗电快？内存不足？没关系，声波大师一键帮你解决。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/5e7f7e5001ba464ab043878c177fbcf7.png,http://appdlc.hicloud.com/dl/appdl/application/apk/5e/5e7f7e5001ba464ab043878c177fbcf7/cn.com.funmeet.soundmater.1908051612.apk?sign=portal@portal1565009584954&source=portalsite&maple=0,2019-08-05
C100908431,超级雇主,商务,北京三六九数动科技有限公司,24.57MB,1.0.7,2019-08-05,score_10,<10000次,超级雇主是一个专注于为世界500强及国内知名企业提供全方位人才战略服务和优质人才的求职招聘平台，致力于为优秀求职者与顶级公司提供最快捷的链接，让求职者全面了解未来雇主并极速入职心仪企业，大幅降低入职风险，加速职业成长，收获满意薪酬。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/5aa415c218634526904e72ffe7ba1ebf.png,http://appdlc.hicloud.com/dl/appdl/application/apk/5a/5aa415c218634526904e72ffe7ba1ebf/com.vipcorp.cjgz.1908051642.apk?sign=portal@portal1565009587275&source=portalsite&maple=0,2019-08-05
C100662629,潮前智媒,新闻阅读,厦门日报社,23.66MB,2.0.2,2019-08-05,score_10,1万次,潮前智媒是厦门日报社官方App，从厦门出发，提供政务+新闻+生活服务，搭载智能AI，为用户提供年轻态、个性化、趣味性的精神食粮。做厦门人资讯生活好助手。潮前智媒是厦门日报社官方App，从厦门出发，提供政务+新闻+生活服务，搭载智能AI，为用户提供年轻态、个性化、趣味性的精神食粮。做厦门人资讯生活好助手。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/96120a35216b40f986078ca3f8c7b802.png,http://appdlc.hicloud.com/dl/appdl/application/apk/96/96120a35216b40f986078ca3f8c7b802/com.giiso.amoy.1908051646.apk?sign=portal@portal1565009587991&source=portalsite&maple=0,2019-08-05
C100614445,巨海商学院,教育,上海巨海企业管理顾问有限公司,32.93MB,1.1.2,2019-08-05,score_0,<10000次,“巨海商学院”是上海巨海企业管理顾问有限公司旗下的在线学习APP，是帮助国人养成学习习惯的学习型社区。成杰老师携巨海团队深度提炼，精华解读，让你利用碎片时间获取高浓度知识，成为你的在线加油站。视频、音频、图文、……用你喜欢的方式来学习，晨起、睡前、通勤路上……每天10分钟，让学习成为一种习惯，在巨海商学院遇见更好的自己！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/96533184dd914a438795c609c3f01dbe.png,http://appdlc.hicloud.com/dl/appdl/application/apk/96/96533184dd914a438795c609c3f01dbe/com.mdchina.juhai.1908051628.apk?sign=portal@portal1565009588880&source=portalsite&maple=0,2019-08-05
C10518168,闪易,实用工具,杭州闪易科技有限公司,28.94MB,2.1.4,2019-08-05,score_9,2万次,闪易颠覆了二维码，提供了更加安全快速的光交互和光支付功能。通过手机闪光灯的轻轻一闪，即可一闪支付、一闪开门、一闪点餐、一闪乘车...，为生活带来加便捷愉快的体验。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/65695831b07045e88aa07e9b62b59f9a.png,http://appdlc.hicloud.com/dl/appdl/application/apk/65/65695831b07045e88aa07e9b62b59f9a/com.robooot.flash.1908051507.apk?sign=portal@portal1565009589644&source=portalsite&maple=0,2019-08-05
C100543395,机修狮,实用工具,无锡中慧联合科技有限公司,74.31MB,3.1.0,2019-08-05,score_10,<10000次,「机修狮」,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/65e776559e9c440eb8922d260a350aa5.png,http://appdlc.hicloud.com/dl/appdl/application/apk/65/65e776559e9c440eb8922d260a350aa5/com.zoweunion.mechlion.1908051620.apk?sign=portal@portal1565009592134&source=portalsite&maple=0,2019-08-05
C100533481,爱家读书,新闻阅读,河南爱家教育科技有限公司,26.74MB,2.3.3,2019-08-05,score_10,5万次,爱家读书定期更新书籍的音频，图文，全方位解读每本书籍的精髓；,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/ac708da3174e4db09f5b8153b5e826f9.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ac/ac708da3174e4db09f5b8153b5e826f9/club.modernedu.lovebook.1908051822.apk?sign=portal@portal1565009592953&source=portalsite&maple=0,2019-08-05
C100707251,博易,实用工具,苏州要帮网络科技有限公司,8.25MB,1.5.0,2019-08-05,score_9,47万次,博易--操作简单，方便简洁。好记性不如在读秒花上几秒不再遗失美好时光，例如:伴侣生日还有多少天？孩子出生已经多少天？,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/88f2f2b5a9f44673800218b4df91fb8d.png,http://appdlc.hicloud.com/dl/appdl/application/apk/88/88f2f2b5a9f44673800218b4df91fb8d/com.shark.workproject.boyidaojs.1908051508.apk?sign=portal@portal1565009593777&source=portalsite&maple=0,2019-08-05
C100740331,旺客,实用工具,云南帮扶科技股份有限公司,36.86MB,3.5.1,2019-08-05,score_0,1万次,旺客APP是一款集个人V网,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/6cc0f9ef36894395bcc6359c078eaaf1.png,http://appdlc.hicloud.com/dl/appdl/application/apk/6c/6cc0f9ef36894395bcc6359c078eaaf1/com.wanxiankeji.wangkeH54F3E71F.1908051806.apk?sign=portal@portal1565009597786&source=portalsite&maple=0,2019-08-05
C100176151,丰景惠,购物比价,北京丰景惠农信息服务有限公司,55.32MB,2.5.8,2019-08-05,score_10,<10000次,农业领域资源对接和综合服务，通过丰景农业资源大市场，落地县域整合大量的农产品、农资、农机，以及加工企业、农副产品经销商和采购商。通过下载丰景惠APP，即可实现农产品买卖、农资供需、加工企业对接等。场行情实时更新、农业产品供求实时对接、农业技术服务实时在线，更多农业资讯、农业政策，资源共享，尽在“丰景惠”。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/6a7edfa0f10f49df9726975b7f3bdb1e.png,http://appdlc.hicloud.com/dl/appdl/application/apk/6a/6a7edfa0f10f49df9726975b7f3bdb1e/cn.fundview.agriculturemarket.1908051520.apk?sign=portal@portal1565009598568&source=portalsite&maple=0,2019-08-05
C100393353,租赁易,商务,招银云创（深圳）信息技术有限公司,16.17MB,1.5.0,2019-08-05,score_10,<10000次,租赁易，将传统融资租赁业务与互联网相融合，面向融资租赁行业的资产方与资金方提供信息交流与业务撮合服务。通过整合资产端和资金端的资源，实现资金资产的线上互动，有效解决融资租赁市场渠道资源匮乏、信息不对称以及业务推进效率低下的问题。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/68d5b6009fd4469594b26df894569adf.png,http://appdlc.hicloud.com/dl/appdl/application/apk/68/68d5b6009fd4469594b26df894569adf/zly.rb.com.zly.1908051703.apk?sign=portal@portal1565009599225&source=portalsite&maple=0,2019-08-05
C10548265,麦田在线,便捷生活,北京麦田房产经纪有限公司,21.40MB,2.7.0,2019-08-05,score_10,57万次,【核心功能】,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/981fa1297b3d4ad9a1f8618aeb83e0b8.png,http://appdlc.hicloud.com/dl/appdl/application/apk/98/981fa1297b3d4ad9a1f8618aeb83e0b8/com.jkrm.maitian.1908051540.apk?sign=portal@portal1565009600295&source=portalsite&maple=0,2019-08-05
C100003933,网上车市,汽车,枞树（北京）科技有限公司,18.68MB,6.2.0,2019-08-05,score_8,7万次,第一汽车购买顾问,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/7eb39a3406734e92ba70cb5e3aacecd8.png,http://appdlc.hicloud.com/dl/appdl/application/apk/7e/7eb39a3406734e92ba70cb5e3aacecd8/com.news18a.wangshangcheshi.1908051834.apk?sign=portal@portal1565009600900&source=portalsite&maple=0,2019-08-05
C100099161,玩客云,实用工具,深圳市水晶互动科技有限公司,36.43MB,2.12.0,2019-08-05,score_6,188万次,1、独有隐私加密技术，你的数据你做主,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/42d0ddec0312441fb2e4cd9240b31ce0.png,http://appdlc.hicloud.com/dl/appdl/application/apk/42/42d0ddec0312441fb2e4cd9240b31ce0/com.onething.minecloud.1908051454.apk?sign=portal@portal1565009602014&source=portalsite&maple=0,2019-08-05
C100481415,幸福聊城,美食,聊城天使传送网络科技有限公司,29.80MB,3.0,2019-08-05,score_10,<10000次,幸福聊城是一款聊城人专属的o2o生活服务应用平台，为您提供：外卖、团购、拼购、砍价团、跑腿、生鲜、鲜花、日用超市、便民服务，为您的日常生活提供便捷服务，简单生活、品质体验，尽在幸福聊城,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/9fe3743621a645e282eb9286879ca1cd.png,http://appdlc.hicloud.com/dl/appdl/application/apk/9f/9fe3743621a645e282eb9286879ca1cd/com.liaocheng.users.1908051739.apk?sign=portal@portal1565009603153&source=portalsite&maple=0,2019-08-05
C100081907,滚滚小说,新闻阅读,成都哎呦互娱科技有限公司,11.22MB,3.2.4,2019-08-05,score_8,14万次,【应用描述】,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/7eea71dca929458584b31d92f45b9908.png,http://appdlc.hicloud.com/dl/appdl/application/apk/7e/7eea71dca929458584b31d92f45b9908/com.iyoo.gungunbook.1908051459.apk?sign=portal@portal1565009603746&source=portalsite&maple=0,2019-08-05
C10267354,大众生活,便捷生活,广东云蜘蛛科技股份有限公司,38.84MB,6.4.4,2019-08-05,score_7,1万次,【大众生活】App不止于为您提供安全充电服务。我们还帮助您用手机查询和缴纳物业费；及时接收重要通知公告；在线建议反馈和报修；一键呼叫物业中心；快速查找各种生活服务等等。快来开启智慧社区吧！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/9f703bf66ee84d368b21bd7d54615820.png,http://appdlc.hicloud.com/dl/appdl/application/apk/9f/9f703bf66ee84d368b21bd7d54615820/net.dzsh.o2o.1908051730.apk?sign=portal@portal1565009604344&source=portalsite&maple=0,2019-08-05
C100110821,移动中天,商务,常州皓鸣信息科技有限公司,27.42MB,1.6.3,2019-08-05,score_6,3万次,1.,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/a399216602194aeca5e1cc0678d36759.png,http://appdlc.hicloud.com/dl/appdl/application/apk/a3/a399216602194aeca5e1cc0678d36759/com.hm.moveztian.1908051453.apk?sign=portal@portal1565009604920&source=portalsite&maple=0,2019-08-05
C100952869,文字转语音大师,实用工具,长沙越甲网络技术有限公司,25.20MB,1.2.1,2019-08-05,score_0,<10000次,想要输入文字就能生成语音，来体验文字转语音识别大师呀，它是一款文字转语音、在线朗读、语音合成、专业配音的APP软件，文字秒变语音，我们让一切都变得那么简单，赶快来试试吧！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/76ffbbc95ee84415934080db5569faad.png,http://appdlc.hicloud.com/dl/appdl/application/apk/76/76ffbbc95ee84415934080db5569faad/com.yuanli.vest.1908051630.apk?sign=portal@portal1565009605475&source=portalsite&maple=0,2019-08-05
C100323151,蓝天教育,教育,深圳市蓝天教育培训学校,61.18MB,3.70,2019-08-05,score_8,7万次,蓝天教育移动端官方应用！为蓝天家长学生提供一站式服务。一键切换学生账号！随时了解家里二宝消息！为家长提供专业的教育咨讯服务，直接与老师聊天，随时了解学生动态！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/8554667c3c6546eebc98edc349c9e084.png,http://appdlc.hicloud.com/dl/appdl/application/apk/85/8554667c3c6546eebc98edc349c9e084/com.skyedu.genearch.1908051501.apk?sign=portal@portal1565009606068&source=portalsite&maple=0,2019-08-05
C100920417,金桥商城,购物比价,浙江金桥数码技术有限公司,16.54MB,1.0.2,2019-08-05,score_0,<10000次,一个专注于给客户完美购物体验的购物平台，能够让客户在平台下放心的购买到优质产品，让客户足不出户就可以享受的购物。我们的敬业您的放心，我们的初心就是让客户可以放心的购买优质产品拒绝虚假、盗版、三无等劣质产品.,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/7179ea25f7914687bd00332f024eed5a.png,http://appdlc.hicloud.com/dl/appdl/application/apk/71/7179ea25f7914687bd00332f024eed5a/com.jq.shop.1908051650.apk?sign=portal@portal1565009606589&source=portalsite&maple=0,2019-08-05
C100202363,海豚TV,影音娱乐,安徽海豚新媒体产业发展有限公司,37.03MB,2.1.6,2019-08-05,score_10,<10000次,汇聚全省美食、教育、旅游、家居、彩妆、穿搭、交通等泛生活精品内容，为本土用户提供短视频和直播服务，致力于形成体系完善的视频内容制作、生产、运营及消费平台。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/6189200b6b5d4d828ddb1e2b5aad6d5f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/61/6189200b6b5d4d828ddb1e2b5aad6d5f/org.dolphin.tv.ahntv.cn.1908051652.apk?sign=portal@portal1565009607127&source=portalsite&maple=0,2019-08-05
C100841111,青柠兼职,商务,有得赚（北京）科技有限公司,8.71MB,1.2.8,2019-08-05,score_9,17万次,青柠兼职-行业领先，规模大、靠谱的兼职平台，有丰富的兼职类型，好玩的兼职岗位，轻松做兼职天天挣高薪，名企担保，业内领先！天天做不完的好兼职，挣不完的高薪水！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/7a799d3f1ec242e4a38c37eeae5f9232.png,http://appdlc.hicloud.com/dl/appdl/application/apk/7a/7a799d3f1ec242e4a38c37eeae5f9232/com.tm.limeJob.1908051838.apk?sign=portal@portal1565009607748&source=portalsite&maple=0,2019-08-05
C100694301,掌上永州,影音娱乐,永州世纪之星文化传媒有限公司,36.38MB,6.1.2,2019-08-05,score_10,<10000次,“掌上永州”客户端是永州世纪之星文化传媒有限公司打造的永州本土智慧城市移动应用平台。主打“本地新闻资讯+方言+短视频+积分商城”等功能板块，致力打造永州最大的全民互动娱乐型服务平台，丰富永州市民生活。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/7fdad66ed047468e98af83415a890ee9.png,http://appdlc.hicloud.com/dl/appdl/application/apk/7f/7fdad66ed047468e98af83415a890ee9/com.xinzhaoyang.zsyz.1908051454.apk?sign=portal@portal1565009608202&source=portalsite&maple=0,2019-08-05
C100712925,点红包,便捷生活,河南蜗牛远大电子商务有限公司,61.46MB,2.0.1,2019-08-05,score_10,<10000次,基于LBS与人工智能驱动下，连接商家与个人的3公里范围内的生活服务优惠圈；基于用户的位置和消费习惯，通过人工智能和算法推荐，为用户精准推送周边3公里范围内的商家优惠信息并实现消费闭环。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/6e2dc23fc5154fc39a59add6240a2b80.png,http://appdlc.hicloud.com/dl/appdl/application/apk/6e/6e2dc23fc5154fc39a59add6240a2b80/com.pickup.redenvelopes.1908051444.apk?sign=portal@portal1565009608869&source=portalsite&maple=0,2019-08-05
C100512803,节点阿米巴,实用工具,福建节点信息科技有限公司,16.13MB,2.3.0_R13168_65,2019-08-05,score_0,<10000次,“节点阿米巴”是福建节点信息科技有限公司凭借9年金融领域风险控制经验，把金融领域先进的管理理念应用到中小微企业中，采用了阿米巴管理模式。由此开发了一款帮助中小企业实现一流管理的公共服务工具。为企业发展保驾护航。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/b692de9ce0364a04b443840c21eea835.png,http://appdlc.hicloud.com/dl/appdl/application/apk/b6/b692de9ce0364a04b443840c21eea835/com.cruxtek.jdamb.1908051513.apk?sign=portal@portal1565009609932&source=portalsite&maple=0,2019-08-05
C100441061,乐聊番茄社区聊天,社交通讯,深圳市乐畅通有限公司,74.89MB,1.1.3,2019-08-05,score_10,101万次,乐聊番茄社区聊天交友，聊天交友一对一番茄视频聊天交友APP，附近社区番茄陌生人同城聊天交友乐趣无穷，番茄社区让陌生人不再陌生，一款在线视频互动交友软件，超过百万宅男靓女正在使用的灵魂社交产品。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/b354f7295be248c4949937f57f4eb46f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/b3/b354f7295be248c4949937f57f4eb46f/com.mm.leliao.1908011736.apk?sign=portal@portal1565009610607&source=portalsite&maple=0,2019-08-05
C10543904,钥匙帮,便捷生活,广州畅联信息科技有限公司,15.33MB,2.2.01,2019-08-05,score_7,2万次,应用介绍：,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/be968b24b3f04074892af0255599851c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/be/be968b24b3f04074892af0255599851c/com.uclbrt.qrclient.1908022045.apk?sign=portal@portal1565009611160&source=portalsite&maple=0,2019-08-05
C100705479,格乐利雅婚嫁,购物比价,上海格乐丽雅文化产业有限公司,16.62MB,1.7.1,2019-08-05,score_0,<10000次,格乐利雅婚嫁，是全球高端婚礼连锁品牌---格乐利雅一站式婚礼会所旗下的官方手机应用，,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/55e339cfb2814ffeb5ce46a288471860.png,http://appdlc.hicloud.com/dl/appdl/application/apk/55/55e339cfb2814ffeb5ce46a288471860/com.jiahao.galleria.1908050953.apk?sign=portal@portal1565009611784&source=portalsite&maple=0,2019-08-05
C100071563,浅言,社交通讯,上海卓悠网络科技有限公司,67.94MB,6.8.4,2019-08-05,score_10,88万次,浅言：不只是手帐本，更是陪伴你左右的随手记录生活的日记本,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/51e5d90c04e546b9b00359411244c762.png,http://appdlc.hicloud.com/dl/appdl/application/apk/51/51e5d90c04e546b9b00359411244c762/com.zhy.qianyan.1908021618.apk?sign=portal@portal1565009612368&source=portalsite&maple=0,2019-08-05
C100987899,滤镜p图相机,拍摄美化,杭州惠龙信息科技有限公司,20.39MB,1.0,2019-08-05,score_0,<10000次,【质感视频】,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/8bf7e5c40023464984c390a2098f88fe.png,http://appdlc.hicloud.com/dl/appdl/application/apk/8b/8bf7e5c40023464984c390a2098f88fe/com.sweetcamer.tthz.1908021642.apk?sign=portal@portal1565009613040&source=portalsite&maple=0,2019-08-05
C100713375,Meembar,旅游住宿,Meembar Sdn Bhd,45.08MB,1.1.49,2019-08-05,score_0,<10000次,以最佳的价格预订机票、住宿和旅游景点与活动,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/62e6eecd6b794fc4b2d89a24e6ed5ba4.png,http://appdlc.hicloud.com/dl/appdl/application/apk/62/62e6eecd6b794fc4b2d89a24e6ed5ba4/com.daganghalal.meembar.1908050936.apk?sign=portal@portal1565009613603&source=portalsite&maple=0,2019-08-05
C100418619,全局透明壁纸,主题个性,深圳市咖咖游科技有限公司,27.84MB,1.2.2,2019-08-05,score_9,262万次,全局透明壁纸，是一款能让你的手机桌面与主题以及来电视频拥有炫酷个性体验的透明动态壁纸软件，把好看的视频内容一键设置为手机动态壁纸以及动态壁纸，让你的手机,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/9b059bc16c80437c9bb96a6cc7a95683.png,http://appdlc.hicloud.com/dl/appdl/application/apk/9b/9b059bc16c80437c9bb96a6cc7a95683/com.zsyj.trans.1908051603.apk?sign=portal@portal1565009614190&source=portalsite&maple=0,2019-08-05
C100963265,镜多多眼镜,购物比价,成安县镜多多电子商务有限公司,6.59MB,0.0.15,2019-08-05,score_0,<10000次,一，首页内容,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/d1ed82ee11ea4681a880d96e7a71f011.png,http://appdlc.hicloud.com/dl/appdl/application/apk/d1/d1ed82ee11ea4681a880d96e7a71f011/com.y646626114.fhb.1908011542.apk?sign=portal@portal1565009631904&source=portalsite&maple=0,2019-08-05
C100909525,千千淘,购物比价,杭州美爵商贸有限公司,4.78MB,1.2.1,2019-08-05,score_10,<10000次,应用简介：,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/14fedb2e2121421cbcdad22188dfc591.png,http://appdlc.hicloud.com/dl/appdl/application/apk/14/14fedb2e2121421cbcdad22188dfc591/com.mazai.qqt.1908051836.apk?sign=portal@portal1565009632507&source=portalsite&maple=0,2019-08-05
C100886051,牡丹优选,购物比价,山东淘惠信息科技有限公司,21.72MB,4.6.71,2019-08-05,score_0,<10000次,专注购物优惠券的牡丹优选app,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/360d2802065149f0a969daee35198efa.png,http://appdlc.hicloud.com/dl/appdl/application/apk/36/360d2802065149f0a969daee35198efa/com.mudanyouxuan.app.1908051609.apk?sign=portal@portal1565009633127&source=portalsite&maple=0,2019-08-05
C100925707,ME时代优选,购物比价,深圳蜜时代网络科技有限公司,25.82MB,3.4.6,2019-08-05,score_0,<10000次,ME时代优选是一款针对于终端用户的App，ME时代优选App拥有超多与终端用户的互动活动。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/0e8d3153db324996bd590e87af10903f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/0e/0e8d3153db324996bd590e87af10903f/com.times.metimes.1908051835.apk?sign=portal@portal1565009633785&source=portalsite&maple=0,2019-08-05
C10753870,尾货通,购物比价,徐州麦邦网络科技有限公司,71.50MB,2.5.3,2019-08-05,score_3,2万次,【应用介绍】,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/081e07ddb0f747189c4c3c1d246c1b20.png,http://appdlc.hicloud.com/dl/appdl/application/apk/08/081e07ddb0f747189c4c3c1d246c1b20/com.qy.mall.1908051525.apk?sign=portal@portal1565009634366&source=portalsite&maple=0,2019-08-05
C10521032,汇桔网,购物比价,广州博鳌纵横网络科技有限公司,17.55MB,3.6.7,2019-08-05,score_10,3万次,汇桔网（wtoip.com）是一个以知识产权为核心的资源共享企业服务平台。业务覆盖商标、专利、版权等知识产权的创造（申请、注册、登记等）与保护，以及知识产权的买卖、许可与合作，是集知识产权从拥有到交易的一站式服务平台。以建设“知商”生态圈、服务企业转型升级为战略制高点，,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/40147e102adf45bc94ebf7e8a1aa2da9.png,http://appdlc.hicloud.com/dl/appdl/application/apk/40/40147e102adf45bc94ebf7e8a1aa2da9/com.wtoip.app.1908051757.apk?sign=portal@portal1565009638822&source=portalsite&maple=0,2019-08-05
C100856317,袋友,购物比价,浙江袋友电子商务有限公司,17.61MB,1.3.00,2019-08-05,score_10,11万次,一个只卖好货的线上购物平台，不用担心买贵了，袋友给你超低价。将好货分享给好友，好友购买你赚钱。帮好友砍价，你还能拿奖励。余额别怕花不完，一点就提现，购买商品也能抵扣。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/02a81cdfd74b4eebb17857434ad47682.png,http://appdlc.hicloud.com/dl/appdl/application/apk/02/02a81cdfd74b4eebb17857434ad47682/com.dy.android.1908051458.apk?sign=portal@portal1565009639393&source=portalsite&maple=0,2019-08-05
C100630043,慧农帮,购物比价,英大商务服务有限公司,34.73MB,2.3.60,2019-08-05,score_10,<10000次,慧农帮app，慧农帮全链条精准扶贫管理系统移动端应用，属于国网电商集团旗下的电商扶贫平台。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/3ba7eb6fe75a4534af30454666fe99fb.png,http://appdlc.hicloud.com/dl/appdl/application/apk/3b/3ba7eb6fe75a4534af30454666fe99fb/com.dianshangfupin.huinongbang.1908051835.apk?sign=portal@portal1565009640117&source=portalsite&maple=0,2019-08-05
C100806205,爱返利,购物比价,泉州数字互动信息科技有限公司,20.52MB,1.0.17,2019-08-05,score_0,<10000次,爱返利-省钱大平台,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/1fd7589073f14a18a5a7ac2d2e77f2bb.png,http://appdlc.hicloud.com/dl/appdl/application/apk/1f/1fd7589073f14a18a5a7ac2d2e77f2bb/com.ifanli.apk.1908051722.apk?sign=portal@portal1565009640693&source=portalsite&maple=0,2019-08-05
C10821103,券券优惠券,购物比价,无锡摩笔世纪科技有限公司,14.70MB,8.0,2019-08-05,score_10,87万次,券券优惠券，帮你购物省钱返利app。优惠券融合了联盟数据，除了领取优惠券还有大额返利。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/2069cb31b9c2400eb56605ddc2efcbe1.png,http://appdlc.hicloud.com/dl/appdl/application/apk/20/2069cb31b9c2400eb56605ddc2efcbe1/com.my.coupon.1908051634.apk?sign=portal@portal1565009641348&source=portalsite&maple=0,2019-08-05
C100379365,医龄慕颜,购物比价,医龄慕颜健康管理有限责任公司,43.21MB,1.7.1,2019-08-05,score_0,<10000次,医龄慕颜app，专业线品牌，让专业人士为您“指点容颜”，美丽，触手可及！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/013423877da846199d9e2c1cc539a4e8.png,http://appdlc.hicloud.com/dl/appdl/application/apk/01/013423877da846199d9e2c1cc539a4e8/com.zipingfang.ylmy.1908051724.apk?sign=portal@portal1565009641967&source=portalsite&maple=0,2019-08-05
C100027211,渠道鸽,购物比价,沈阳互应科技有限公司,21.67MB,1.4.9,2019-08-05,score_10,<10000次,渠道鸽是一个基于各大电商平台的优惠导购平台，每天提供各大电商平台上万产品优惠活动信息，为用户提供最便捷的优惠导购服务，更高效的享受优惠购物，同样的店铺同样产品，使用渠道专属优惠券享受渠道优惠，还包邮让你省得更多，电商购物优惠就找渠道鸽。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/16be3fd2949444b69a71e269ac784fcf.png,http://appdlc.hicloud.com/dl/appdl/application/apk/16/16be3fd2949444b69a71e269ac784fcf/com.huying.qudaoge.1908051635.apk?sign=portal@portal1565009642621&source=portalsite&maple=0,2019-08-05
C100980185,富城生鲜,购物比价,杭州天祎网络科技有限公司,14.83MB,1.2.0,2019-08-05,score_0,<10000次,富城生鲜电子商务平台是为各个地区商贸城量身打造的智能化农贸市场软件，是以高品质产品、完备服务、庞大数据库支撑及全体系运营能力，创造消费者心中的首个线上线下相结合的农贸市场生鲜平台。在传统营销模式基础上，以电商体系运营模式，提升自身面向未来、面向市场、面向用户的营销创新能力。富城生鲜电子商务平台全面融合互联网思维，通过产品、运营、供应链、客服和大数据分析“四位一体”的创新模式体系打开了线上线下相结合的新智能市场。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/c995d8f14fa047a999a85ce3dff84565.png,http://appdlc.hicloud.com/dl/appdl/application/apk/c9/c995d8f14fa047a999a85ce3dff84565/io.tianyi.tymarketandroid.1908011529.apk?sign=portal@portal1565009643248&source=portalsite&maple=0,2019-08-05
C100560817,甩甩卖,购物比价,上海不肯去电子商务有限公司,24.11MB,2.1.1,2019-08-05,score_2,252万次,甩甩卖是新一代领先的S2B2C大牌甩卖平台，致力于将娱乐社交的元素融入电商运营中,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/1a62f29c897f4e218189d7df3314b49a.png,http://appdlc.hicloud.com/dl/appdl/application/apk/1a/1a62f29c897f4e218189d7df3314b49a/com.shuaishuaimai.app.1908051302.apk?sign=portal@portal1565009643899&source=portalsite&maple=0,2019-08-05
C100960041,天九云商,购物比价,北京天九云电子商务有限公司,13.07MB,1.0.0,2019-08-05,score_0,<10000次,天九云商，是天九共享控股集团旗下控股公司，致力于打造成为中国有温度的企业礼品采购平台。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/141b73ae8d2a49dfb693f2714902e9f4.png,http://appdlc.hicloud.com/dl/appdl/application/apk/14/141b73ae8d2a49dfb693f2714902e9f4/com.tojoy.yunshang.1908012026.apk?sign=portal@portal1565009644607&source=portalsite&maple=0,2019-08-05
